Tweet ID	Author ID	Text
1759721497378050213	1391797294920523780	"The People’s Princess. 
 #LoveIsland https://t.co/sgMSdgiXdr"
1759721332856533115	1132461805631102977	Worst Love Island Ever #Loveisland
1759721273104707603	39773949	#LoveIslandAllStars fans complain minutes into final as they make plea to show bosses https://t.co/Y8n8rqybwe #LoveIsland https://t.co/PR9ciRRNZa
1759721159736643762	915851000	"اليوم الـ 136.. القسام يستهدف طائرات العدو

#OTGalaFinal #Juanjo
#Chenoa #LoveIsland #Naiara https://t.co/FnAnwgnogw"
1759721065381614034	39773949	#LoveIsland's Molly Smith swears as she and Tom Clare crowned winners during final https://t.co/c3lUFNARlE #LoveIslandAllStars https://t.co/8javQ556i9
1759720946082984341	1701220271116496897	"#LoveIsland
#BREATHTAKING
#NS10v10
#EVECRY
#TheWay https://t.co/x64WyjJTxq"
1759720943381782619	1127286467070431233	The real winner 👑 #loveisland #LoveIslandAllStars https://t.co/6n9Vp8SHdx
1759720920120275087	1198736073775599616	Tom you will be forgotten!! Molly congrats baby girl ❤️ #LoveIsland
1759720895566758193	1660226425754877952	"Who watched TV tonight? 

Those people know me 

Without TV, Be insane 

#Loveisland  #BREATHTAKING"
1759720598207336603	948583577062723590	succeeding Love island seasons after their season hasn’t hit as hard..the most chaotic yet entertaining love story on that show😂🧏‍♀️ #Loveisland https://t.co/Qw1PwKz4y1
1759720533384372306	2766936911	How can u win and not hug each other 🤔 #loveislandallstars #Loveisland
1759720527764095435	915851000	"الرئيس الروسي بوتين: من واجبنا المقدس أن نساعد شعب غزة، وهذا واجبنا كإنسانية، وهذا من متطلبات معتقداتنا.
#OTGalaFinal #Juanjo
#Chenoa #LoveIsland #Naiara https://t.co/wuaMjk8uSV"
1759720449766834233	1567172039068237824	"Also, I wonder if living together for the last 5 weeks has made Molly and Callum realise they miss living together? I mean, it's almost like another break up for them. 

#loveisland"
1759720440782889248	1587278420311822337	#LoveIslandGames now on ITVX the real #allstars #Loveisland #LoveIslandAllStars https://t.co/zJZC08yB1N
1759720420557631653	4174467209	Until next time #Loveisland #LoveIslandAllStars 😂✌🏾
1759720376727146815	1581657466059821058	I will never forgive the producers for not pushing the molly callum comeback sooner, how did they only get the hint at the end of the series  #LoveIsland https://t.co/vcZMbtRy54
1759720170174435353	1654770809578070017	TOM CLARE THE MOST BORING MAN TO EVER ENTER THE VILLA HAS WON???? WHO VOTED FOR HIM? OWN UP RN AND APOLOGISE  #LoveIsland https://t.co/MMlOMTnbYp
1759720166076588297	363370610	Why does everyone hate Tom? I like him🤷🏻‍♀️ #LoveIsland
1759720133994426591	1567172039068237824	"Wait. Just realised I'm not going to see Molly and Callum on my screen anymore. I need time to digest this.

#loveisland"
1759720014964208064	39773949	#LoveIslandAllStars couple reveal they're still together weeks after being axed https://t.co/C7T1JYOoU2 #LoveIsland https://t.co/BZSsKSwMaH
1759719824983249179	1073334111849328642	If love island was actually love island #Loveisland https://t.co/3l0Hchrufa
1759719823964045609	1684961597381386249	Anyways so happy that Molly won and kept all the 50k for herself! COME ON CEO QUEEN LETS START THAT APPAREL BUSINESS  #LoveIsland https://t.co/ey51FZXutx
1759719772797739511	3758022555	Sophie looks and talks all cute but sis is fiery in real time so love it😂 #Loveisland
1759719621853163724	3947922183	knew they would never win but Sophie and Josh in 3rd is still criminal #loveisland https://t.co/hFFJXhPd1x
1759719555402711414	1152635112145727489	"Lmao 🤣 

#Loveisland #AllStars #Protest #Garner #CristianoRonaldo #Girona #Fofana #Naira #IraNandhaKenapa #viral https://t.co/QQy30ZcN6L"
1759719535945383950	855282559	Tom certainly knows how to man spread and take up most of the couch.  #LoveIsland
1759719524318757320	3758022555	Why were there barely any dates this season #Loveisland
1759719519717642568	1545170876320124929	"Molly winning is my compensation for Whitney not winning
#LoveIsland"
1759719515443560527	3947922183	Who’s voting Tom over Sophie and Josh?!??? Y’all are sick #LoveIsland https://t.co/GXaT3xhH6B
1759719511052198052	1586373140392943617	Find someone who loves you like Casey loves Tom #loveisland #LoveIslandAllStars https://t.co/wvwCkiyYqp
1759719399047508418	1680647958813974528	@Maya6747 Callum that said he only picked her to be  respectful?? Confronted her on her bs until she cried out a lack of a defense?? Then ran to Gee with there's nothing there? Helps Tom?? 16 others?? Didn't care to tell her he loved her in the relationship? #LoveIsland #LoveIslandAllStars
1759719286380114182	3758022555	Loool, I wanna see how they actually dance without all the editing because it honestly looks so vibeyyy with the slo-mo🤣 #LoveIsland
1759719269217050693	502266012	I hope Nelly runs away from home and ends up at Callum’s house every time she sees Tom Clare walk through the door! #loveisland #LoveIslandAllStars https://t.co/ugEC658DaS
1759719250388791737	1736554136538103808	#LoveIslandGames the superior spin-off is now on ITVx 🍿🍿🍿🍿 #LoveIsland #AllStars #LoveIslandAllStars https://t.co/IhirEjBj6h
1759719190196261012	1321853725523300352	One of the great injustices of #LoveIsland was not sending Molly and Callum on a date 👀
1759719008348082233	39773949	"New ITV #LoveIsland feud uncovered as fans notice ‘huge clue’ in brutal All Stars twist
https://t.co/3k9jozZU82 https://t.co/gXRAf4DKGV"
1759718974722310264	3947922183	not maya using her and stormzy as encouragement ☠️☠️ #LoveIsland #LoveIslandAllStars https://t.co/xJxIFlmFov
1759718939326611685	60432791	What a shit pool party! Didn’t see a single person playing mermaids #LoveIslandAllStars  #LoveIsland
1759718859278360727	41637714	Casey genuinely crying because Tom won is actually adorable. 😭😭💕💕💕💕💕 #LoveIslandAllStars #LoveIsland #AllStars https://t.co/eO7Byag13R
1759718838906581078	1412111906962296833	"Nice little shoutout to Chris and Kaz for having their backs..  
#AllStars #LoveIsland #LoveIslandAllstars https://t.co/ayhBpcfpyB"
1759718774733722008	1756894205522386944	@samran_toheed This season may be over, but the memories will last forever. #LoveIsland ❤️🌴
1759718768463258008	1751462933974958080	#Loveisland all month...the public has been attacking Toby and georgia s in order to raise up Callum and now they are surprised the Sophie and Josh did not win LOL https://t.co/EhEtYGJRUA
1759718714235068927	20442930	"#LoveIsland fans ecstatic as Maya Jama points out Stormzy in ITV finale crowd
https://t.co/H1oeeRIKMb https://t.co/dcWEp7UN0s"
1759718647864434890	1484853394066051075	"Distinguish between the two.
#LoveIsBlind #LoveIslandAllStars #Loveisland #EXpeciallyForYou #Perletti #EspeciallyForShowtime https://t.co/7Rxxaf9Mcz"
1759718611302629885	1321853725523300352	"I wana see Callum and Molly’s best bits. 

#LoveIsland"
1759718593221050374	912556758463377409	"Check out my Love Island Greatest Hits Playlist on Spotify! Over 16 hours of the best music from the villa! Click the link below to listen &amp; don't forget to press ❤️ on Spotify to follow! 

https://t.co/rNt2D4PiOf

#LoveIslandAllStars #LoveIsland #LoveIslandUK #Love https://t.co/C3Xvmynsku"
1759718534697877727	1557711890578554880	Sorry but Callum looked like he was rethinking his life decisions sitting on that coach😭 man didn’t even properly clap during toms and Mollys best bits. #Loveisland
1759718504708633017	1368656285181358082	"love island needs to take notes from usa bc love island games was a million times more interesting than this dead season. they should at least be bring in people from other country’s love islands #Loveisland 
 https://t.co/Px9069Tuew"
1759718458273436140	912556758463377409	"Check out my Love Island Dance Party Playlist on Spotify! Over 30 hours of music &amp; updated daily! Click the link below to listen &amp; don't forget to press ❤️ on Spotify to follow! 

https://t.co/MNlWfOExPJ

#LoveIslandAllStars #LoveIsland #LoveIslandUK #Love https://t.co/XTsCbwzTHK"
1759718446361698487	1574445828869079043	@subjohn28 haaaaa. the nation ? or your twitter algorithmic circle jerk ? we literally voted for tom to be with molly. voted them most popular on multiple occasions. and voted them winners. whilst you lot were living in actual legit alternate realities. #loveisland #loveislandallstars
1759718384348889313	502266012	I hope my Molly and Callum edits show up on Tom Clare’s fyp #loveisland #LoveIslandAllStars https://t.co/aIvPgMIKFk
1759718323862815159	912556758463377409	"Check out my Love Island 2015-2024 Playlist on Spotify! Every song featured over 11 series! Over 5,000 songs &amp; updated daily! Click the link below to listen &amp; press ❤️ on Spotify to follow! 

https://t.co/agtQqc8zZ8

#LoveIslandAllStars #LoveIsland #LoveIslandUK #Love https://t.co/AVi4leYAU7"
1759718319769182339	219422167	Callum deserved to win more than Molly ngl.  #loveisland
